Name,Location
Fujimi Kaido,Nagano Prefecture
Saitama Circuit,Saitama Prefecture
Nikko Mountain Run,Tochigi Prefecture
Asahikawa Driftway,Hokkaido
Yokosuka Line,Kanagawa Prefecture
Otaru Coast Route,Hokkaido
Sendai Highland,Miyagi Prefecture
Aomori Frost Trail,Aomori Prefecture
Chiba Bayshore,Chiba Prefecture
Matsumoto Ridges,Nagano Prefecture
Kanazawa Coastline,Ishikawa Prefecture
Nagasaki Sprint,Nagasaki Prefecture
Kobe Waterfront,Hyogo Prefecture
Ishikawa Cliffs,Ishikawa Prefecture
Fukuoka Dash,Fukuoka Prefecture
Hiroshima Hairpin,Hiroshima Prefecture
Gifu Gauntlet,Gifu Prefecture
Okinawa Ring,Okinawa Prefecture
Niseko Blizzard Run,Hokkaido
Kagoshima Sunset Strip,Kagoshima Prefecture
Osaka Downtown Dash,Osaka Prefecture
Kyoto Temple Trek,Kyoto Prefecture
Nara Deer Run,Nara Prefecture
Okayama Orbit,Okayama Prefecture
Kumamoto Volcano Route,Kumamoto Prefecture
Niigata Snowpath,Niigata Prefecture
Shizuoka Speedway,Shizuoka Prefecture
Tochigi Turnabout,Tochigi Prefecture
Wakayama Whirl,Wakayama Prefecture
Kagawa Kruise,Kagawa Prefecture
Yokohama Nightscape,Kanagawa Prefecture
Shikoku Shoreline,Shikoku Island
Tottori Dunes Trail,Tottori Prefecture
Tokushima Twists,Tokushima Prefecture
Miyazaki Meadows,Miyazaki Prefecture
Saga Straightaway,Saga Prefecture
Shimane Shadow Sprint,Shimane Prefecture
Ehime Expressway,Ehime Prefecture
Toyama Tunnel Run,Toyama Prefecture
Yamaguchi Zigzag,Yamaguchi Prefecture
Iwate Iceway,Iwate Prefecture
Yamagata Yonder,Yamagata Prefecture
Mie Mountain Maze,Mie Prefecture
